observed_on,scientific_name,common_name,taxon_order_name,taxon_family_name
10/26/2019,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
11/2/2019,Stagmomantis limbata,Arizona Mantis,Mantodea,Mantidae
11/6/2019,Atlides halesus,Great Purple Hairstreak,Lepidoptera,Lycaenidae
11/9/2019,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
11/11/2019,Dolichovespula maculata,Bald-faced Hornet,Hymenoptera,Vespidae
11/14/2019,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
1/1/2020,Boisea rubrolineata,Western Boxelder Bug,Hemiptera,Rhopalidae
1/24/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
1/31/2020,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
2/16/2020,Boisea rubrolineata,Western Boxelder Bug,Hemiptera,Rhopalidae
2/22/2020,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
2/27/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
2/27/2020,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
3/1/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/1/2020,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
3/4/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/4/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/4/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/4/2020,Aquarius remigis,North American Common Water Strider,Hemiptera,Gerridae
3/4/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/10/2020,Boisea rubrolineata,Western Boxelder Bug,Hemiptera,Rhopalidae
3/10/2020,Boisea rubrolineata,Western Boxelder Bug,Hemiptera,Rhopalidae
3/10/2020,Nymphalis antiopa,Mourning Cloak,Lepidoptera,Nymphalidae
3/24/2020,Atlides halesus,Great Purple Hairstreak,Lepidoptera,Lycaenidae
4/10/2020,Vanessa cardui,Painted Lady,Lepidoptera,Nymphalidae
4/15/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
4/29/2020,Camponotus modoc,Western Black Carpenter Ant,Hymenoptera,Formicidae
4/29/2020,Cicindela oregona,Western Tiger Beetle,Coleoptera,Carabidae
4/29/2020,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
5/6/2020,Limenitis lorquini,Lorquin's Admiral,Lepidoptera,Nymphalidae
5/21/2020,Andrena auricoma,Golden-haired Miner Bee,Hymenoptera,Andrenidae
5/29/2020,Hyles lineata,White-lined Sphinx,Lepidoptera,Sphingidae
5/29/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
5/29/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
5/29/2020,Papilio eurymedon,Pale Swallowtail,Lepidoptera,Papilionidae
5/29/2020,Schistocerca nitens,Gray Bird Grasshopper,Orthoptera,Acrididae
6/3/2020,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
6/5/2020,Malacosoma californica,Western Tent Caterpillar Moth,Lepidoptera,Lasiocampidae
6/6/2020,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
6/6/2020,Papilio rutulus,Western Tiger Swallowtail,Lepidoptera,Papilionidae
6/6/2020,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
6/7/2020,Lygaeus kalmii,Small Milkweed Bug,Hemiptera,Lygaeidae
6/7/2020,Lygaeus kalmii kalmii,Western Small Milkweed Bug,Hemiptera,Lygaeidae
6/7/2020,Limenitis lorquini,Lorquin's Admiral,Lepidoptera,Nymphalidae
6/8/2020,Papilio rutulus,Western Tiger Swallowtail,Lepidoptera,Papilionidae
6/12/2020,Icaricia icarioides,Boisduval's Blue,Lepidoptera,Lycaenidae
6/13/2020,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
6/13/2020,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
6/13/2020,Euphydryas chalcedona,Variable Checkerspot,Lepidoptera,Nymphalidae
6/13/2020,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
6/13/2020,Cercyonis sthenele,Great Basin Wood-Nymph,Lepidoptera,Nymphalidae
6/14/2020,Papilio eurymedon,Pale Swallowtail,Lepidoptera,Papilionidae
6/15/2020,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
6/15/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/15/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/15/2020,Satyrium californica,California Hairstreak,Lepidoptera,Lycaenidae
6/16/2020,Chalcophora angulicollis,Western Sculptured Pine Borer,Coleoptera,Buprestidae
6/17/2020,Monochamus scutellatus,White-spotted Sawyer,Coleoptera,Cerambycidae
6/17/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/17/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/17/2020,Epargyreus clarus,Silver-spotted Skipper,Lepidoptera,Hesperiidae
6/17/2020,Papilio eurymedon,Pale Swallowtail,Lepidoptera,Papilionidae
6/18/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/18/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/18/2020,Epargyreus clarus,Silver-spotted Skipper,Lepidoptera,Hesperiidae
6/19/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/19/2020,Diabrotica undecimpunctata,Spotted Cucumber Beetle,Coleoptera,Chrysomelidae
6/19/2020,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
6/19/2020,Bombus insularis,Indiscriminate Cuckoo Bumble Bee,Hymenoptera,Apidae
6/19/2020,Chlosyne palla,Northern Checkerspot,Lepidoptera,Nymphalidae
6/19/2020,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
6/19/2020,Coelocnemis magna,,Coleoptera,Tenebrionidae
6/19/2020,Monochamus scutellatus,White-spotted Sawyer,Coleoptera,Cerambycidae
6/19/2020,Alypia langtoni,Langton's Forester,Lepidoptera,Noctuidae
6/20/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/20/2020,Monochamus scutellatus,White-spotted Sawyer,Coleoptera,Cerambycidae
6/20/2020,Anthocharis sara,Sara Orangetip,Lepidoptera,Pieridae
6/20/2020,Monochamus scutellatus,White-spotted Sawyer,Coleoptera,Cerambycidae
6/20/2020,Amphiagrion abbreviatum,Western Red Damsel,Odonata,Coenagrionidae
6/21/2020,Boisea rubrolineata,Western Boxelder Bug,Hemiptera,Rhopalidae
6/21/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/21/2020,Trichodes ornatus,Ornate Checkered Beetle,Coleoptera,Cleridae
6/21/2020,Trimerotropis fontana,Fontana Grasshopper,Orthoptera,Acrididae
6/21/2020,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
6/21/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/22/2020,Euphydryas chalcedona,Variable Checkerspot,Lepidoptera,Nymphalidae
6/22/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/22/2020,Satyrium behrii,Behr's Hairstreak,Lepidoptera,Lycaenidae
6/22/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/22/2020,Vanessa virginiensis,American Lady,Lepidoptera,Nymphalidae
6/22/2020,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
6/22/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/22/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/22/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/22/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/22/2020,Enoclerus sphegeus,Red-bellied Clerid,Coleoptera,Cleridae
6/22/2020,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
6/22/2020,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
6/22/2020,Satyrium californica,California Hairstreak,Lepidoptera,Lycaenidae
6/23/2020,Boloria epithore,Pacific Fritillary,Lepidoptera,Nymphalidae
6/23/2020,Lygaeus kalmii,Small Milkweed Bug,Hemiptera,Lygaeidae
6/24/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/24/2020,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
6/24/2020,Polites sabuleti,Sandhill Skipper,Lepidoptera,Hesperiidae
6/24/2020,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
6/24/2020,Papilio zelicaon,Anise Swallowtail,Lepidoptera,Papilionidae
6/24/2020,Epargyreus clarus,Silver-spotted Skipper,Lepidoptera,Hesperiidae
6/25/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/25/2020,Boloria epithore,Pacific Fritillary,Lepidoptera,Nymphalidae
6/25/2020,Papilio zelicaon,Anise Swallowtail,Lepidoptera,Papilionidae
6/25/2020,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
6/25/2020,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
6/25/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/25/2020,Boloria epithore,Pacific Fritillary,Lepidoptera,Nymphalidae
6/26/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/26/2020,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
6/26/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/26/2020,Alaus melanops,Western Eyed Click Beetle,Coleoptera,Elateridae
6/26/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/27/2020,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
6/27/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/27/2020,Trichodes ornatus,Ornate Checkered Beetle,Coleoptera,Cleridae
6/27/2020,Etorofus propinquus,,Coleoptera,Cerambycidae
6/27/2020,Phyciodes pulchella,Field Crescent,Lepidoptera,Nymphalidae
6/27/2020,Vanessa cardui,Painted Lady,Lepidoptera,Nymphalidae
6/27/2020,Papilio eurymedon,Pale Swallowtail,Lepidoptera,Papilionidae
6/27/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/29/2020,Euphydryas editha,Edith's Checkerspot,Lepidoptera,Nymphalidae
6/29/2020,Euphilotes battoides,Square-spotted Blue,Lepidoptera,Lycaenidae
6/29/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/29/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/29/2020,Glaucopsyche lygdamus,Silvery Blue,Lepidoptera,Lycaenidae
6/29/2020,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
6/29/2020,Euphilotes ancilla,Ancilla Blue,Lepidoptera,Lycaenidae
6/29/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/29/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/29/2020,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
6/29/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/29/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/29/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/29/2020,Pontia occidentalis,Western White,Lepidoptera,Pieridae
6/29/2020,Papilio zelicaon,Anise Swallowtail,Lepidoptera,Papilionidae
6/30/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/1/2020,Chalcophora angulicollis,Western Sculptured Pine Borer,Coleoptera,Buprestidae
7/2/2020,Lygaeus kalmii,Small Milkweed Bug,Hemiptera,Lygaeidae
7/3/2020,Papilio rutulus,Western Tiger Swallowtail,Lepidoptera,Papilionidae
7/3/2020,Satyrium californica,California Hairstreak,Lepidoptera,Lycaenidae
7/3/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
7/4/2020,Papilio rutulus,Western Tiger Swallowtail,Lepidoptera,Papilionidae
7/4/2020,Papilio rutulus,Western Tiger Swallowtail,Lepidoptera,Papilionidae
7/4/2020,Papilio rutulus,Western Tiger Swallowtail,Lepidoptera,Papilionidae
7/4/2020,Sympetrum corruptum,Variegated Meadowhawk,Odonata,Libellulidae
7/5/2020,Sympetrum corruptum,Variegated Meadowhawk,Odonata,Libellulidae
7/6/2020,Lygaeus kalmii,Small Milkweed Bug,Hemiptera,Lygaeidae
7/7/2020,Alaus melanops,Western Eyed Click Beetle,Coleoptera,Elateridae
7/9/2020,Chlosyne hoffmanni,Hoffmann's Checkerspot,Lepidoptera,Nymphalidae
7/9/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/11/2020,Cordulia shurtleffii,American Emerald,Odonata,Corduliidae
7/12/2020,Trimerotropis verruculata,Crackling Forest Grasshopper,Orthoptera,Acrididae
7/12/2020,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
7/14/2020,Vanessa virginiensis,American Lady,Lepidoptera,Nymphalidae
7/14/2020,Limenitis lorquini,Lorquin's Admiral,Lepidoptera,Nymphalidae
7/14/2020,Vanessa virginiensis,American Lady,Lepidoptera,Nymphalidae
7/15/2020,Monochamus obtusus,,Coleoptera,Cerambycidae
7/16/2020,Bombus,Bumble Bees,Hymenoptera,Apidae
7/18/2020,Bombus appositus,White-shouldered Bumble Bee,Hymenoptera,Apidae
7/18/2020,Bombus appositus,White-shouldered Bumble Bee,Hymenoptera,Apidae
7/18/2020,Oeneis chryxus,Chryxus Arctic,Lepidoptera,Nymphalidae
7/18/2020,Vanessa virginiensis,American Lady,Lepidoptera,Nymphalidae
7/18/2020,Cosmopepla conspicillaris,Hedge Nettle Stink Bug,Hemiptera,Pentatomidae
7/19/2020,Thecabius populimonilis,Bead-like Cottonwood Gall aphid,Hemiptera,Aphididae
7/19/2020,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
7/19/2020,Chrysochus cobaltinus,Cobalt Milkweed Beetle,Coleoptera,Chrysomelidae
7/19/2020,Chrysochus cobaltinus,Cobalt Milkweed Beetle,Coleoptera,Chrysomelidae
7/20/2020,Pseudomasaris vespoides,,Hymenoptera,Vespidae
7/20/2020,Libellula pulchella,Twelve-spotted Skimmer,Odonata,Libellulidae
7/21/2020,Vanessa virginiensis,American Lady,Lepidoptera,Nymphalidae
7/21/2020,Papilio eurymedon,Pale Swallowtail,Lepidoptera,Papilionidae
7/21/2020,Cicindela oregona,Western Tiger Beetle,Coleoptera,Carabidae
7/22/2020,Dendroleon speciosus,,Neuroptera,Myrmeleontidae
7/22/2020,Trimerotropis fontana,Fontana Grasshopper,Orthoptera,Acrididae
7/22/2020,Ochlodes sylvanoides,Woodland Skipper,Lepidoptera,Hesperiidae
7/22/2020,Colias behrii,Sierra Sulphur,Lepidoptera,Pieridae
7/22/2020,Colias behrii,Sierra Sulphur,Lepidoptera,Pieridae
7/22/2020,Colias behrii,Sierra Sulphur,Lepidoptera,Pieridae
7/22/2020,Aglais milberti,Milbert's Tortoiseshell,Lepidoptera,Nymphalidae
7/22/2020,Parnassius behrii,Sierra Nevada Parnassian,Lepidoptera,Papilionidae
7/22/2020,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
7/22/2020,Ochlodes sylvanoides,Woodland Skipper,Lepidoptera,Hesperiidae
7/23/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/24/2020,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
7/24/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
7/25/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
7/25/2020,Papilio eurymedon,Pale Swallowtail,Lepidoptera,Papilionidae
7/27/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
7/27/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
7/27/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/27/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/27/2020,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
7/27/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/27/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/27/2020,Tharsalea mariposa,Mariposa Copper,Lepidoptera,Lycaenidae
7/27/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/27/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/27/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/27/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/27/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
7/27/2020,Colias behrii,Sierra Sulphur,Lepidoptera,Pieridae
8/1/2020,Urocerus californicus,California Horntail,Hymenoptera,Siricidae
8/2/2020,Argia vivida,Vivid Dancer,Odonata,Coenagrionidae
8/2/2020,Hemileuca eglanterina,Western Sheep Moth,Lepidoptera,Saturniidae
8/5/2020,Tharsalea editha,Edith's Copper,Lepidoptera,Lycaenidae
8/5/2020,Icaricia shasta,Shasta Blue,Lepidoptera,Lycaenidae
8/5/2020,Icaricia shasta,Shasta Blue,Lepidoptera,Lycaenidae
8/5/2020,Oeneis chryxus,Chryxus Arctic,Lepidoptera,Nymphalidae
8/5/2020,Icaricia shasta,Shasta Blue,Lepidoptera,Lycaenidae
8/9/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
8/10/2020,Cordulegaster dorsalis,Pacific Spiketail,Odonata,Cordulegastridae
8/11/2020,Trimerotropis fontana,Fontana Grasshopper,Orthoptera,Acrididae
8/11/2020,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
8/11/2020,Bombus,Bumble Bees,Hymenoptera,Apidae
8/11/2020,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
8/14/2020,Ochlodes sylvanoides,Woodland Skipper,Lepidoptera,Hesperiidae
8/14/2020,Colias eurytheme,Orange Sulphur,Lepidoptera,Pieridae
8/14/2020,Aeshna umbrosa,Shadow Darner,Odonata,Aeshnidae
8/16/2020,Cotinis mutabilis,Figeater Beetle,Coleoptera,Scarabaeidae
8/18/2020,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
8/19/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
8/19/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
8/19/2020,Trimerotropis verruculata,Crackling Forest Grasshopper,Orthoptera,Acrididae
8/19/2020,Aeshna umbrosa,Shadow Darner,Odonata,Aeshnidae
8/19/2020,Hyles lineata,White-lined Sphinx,Lepidoptera,Sphingidae
8/20/2020,Aeshna interrupta,Variable Darner,Odonata,Aeshnidae
8/23/2020,Vespula pensylvanica,Western Yellowjacket,Hymenoptera,Vespidae
8/23/2020,Tharsalea mariposa,Mariposa Copper,Lepidoptera,Lycaenidae
8/23/2020,Tharsalea mariposa,Mariposa Copper,Lepidoptera,Lycaenidae
8/23/2020,Tharsalea mariposa,Mariposa Copper,Lepidoptera,Lycaenidae
8/23/2020,Anthrax analis,Black Bee Fly,Diptera,Bombyliidae
8/24/2020,Chalcophora angulicollis,Western Sculptured Pine Borer,Coleoptera,Buprestidae
8/24/2020,Ochlodes sylvanoides,Woodland Skipper,Lepidoptera,Hesperiidae
8/24/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
8/24/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
8/24/2020,Colias eurytheme,Orange Sulphur,Lepidoptera,Pieridae
8/24/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
8/25/2020,Trimerotropis verruculata,Crackling Forest Grasshopper,Orthoptera,Acrididae
8/25/2020,Trimerotropis verruculata,Crackling Forest Grasshopper,Orthoptera,Acrididae
8/25/2020,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
8/25/2020,Callophrys spinetorum,Thicket Hairstreak,Lepidoptera,Lycaenidae
8/25/2020,Camnula pellucida,Clear-winged Grasshopper,Orthoptera,Acrididae
8/26/2020,Ochlodes sylvanoides,Woodland Skipper,Lepidoptera,Hesperiidae
8/26/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
8/26/2020,Ochlodes sylvanoides,Woodland Skipper,Lepidoptera,Hesperiidae
8/26/2020,Lygaeus kalmii,Small Milkweed Bug,Hemiptera,Lygaeidae
8/26/2020,Ochlodes sylvanoides,Woodland Skipper,Lepidoptera,Hesperiidae
8/26/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
8/27/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
8/27/2020,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
8/27/2020,Icaricia acmon,Acmon Blue,Lepidoptera,Lycaenidae
8/27/2020,Epicauta puncticollis,,Coleoptera,Meloidae
8/27/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
8/28/2020,Aeshna interrupta,Variable Darner,Odonata,Aeshnidae
8/28/2020,Lestes disjunctus,Northern Spreadwing,Odonata,Lestidae
8/28/2020,Lestes disjunctus,Northern Spreadwing,Odonata,Lestidae
8/28/2020,Lestes disjunctus,Northern Spreadwing,Odonata,Lestidae
8/28/2020,Lestes disjunctus,Northern Spreadwing,Odonata,Lestidae
8/28/2020,Sympetrum semicinctum,Band-winged Meadowhawk,Odonata,Libellulidae
8/29/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
8/29/2020,Aeshna interrupta,Variable Darner,Odonata,Aeshnidae
8/30/2020,Hyles lineata,White-lined Sphinx,Lepidoptera,Sphingidae
9/1/2020,Anax junius,Common Green Darner,Odonata,Aeshnidae
9/1/2020,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
9/6/2020,Argynnis mormonia,Mormon Fritillary,Lepidoptera,Nymphalidae
9/20/2020,Sympetrum corruptum,Variegated Meadowhawk,Odonata,Libellulidae
9/20/2020,Lygaeus kalmii,Small Milkweed Bug,Hemiptera,Lygaeidae
9/20/2020,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
9/20/2020,Ochlodes sylvanoides,Woodland Skipper,Lepidoptera,Hesperiidae
9/30/2020,Anabrus simplex,Mormon Cricket,Orthoptera,Tettigoniidae
9/30/2020,Colias behrii,Sierra Sulphur,Lepidoptera,Pieridae
10/3/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
10/6/2020,Danaus plexippus,Monarch,Lepidoptera,Nymphalidae
10/7/2020,Vespula alascensis,Alaska Yellowjacket,Hymenoptera,Vespidae
10/7/2020,Trimerotropis fontana,Fontana Grasshopper,Orthoptera,Acrididae
10/11/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
10/13/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
10/13/2020,Polistes aurifer,Golden Paper Wasp,Hymenoptera,Vespidae
10/17/2020,Trimerotropis verruculata,Crackling Forest Grasshopper,Orthoptera,Acrididae
10/23/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
10/23/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
10/25/2020,Tamalia coweni,Manzanita Leafgall Aphid,Hemiptera,Aphididae
10/28/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
10/28/2020,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
10/28/2020,Pyrrharctia isabella,Isabella Tiger Moth,Lepidoptera,Erebidae
10/31/2020,Pyrrharctia isabella,Isabella Tiger Moth,Lepidoptera,Erebidae
10/31/2020,Phyciodes mylitta,Mylitta Crescent,Lepidoptera,Nymphalidae
11/4/2020,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
11/22/2020,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
11/27/2020,Pyrrharctia isabella,Isabella Tiger Moth,Lepidoptera,Erebidae
12/20/2020,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
1/16/2021,Agabus,,Coleoptera,Dytiscidae
1/16/2021,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
2/18/2021,Chimarocephala pacifica,Painted Meadow Grasshopper,Orthoptera,Acrididae
3/1/2021,Boisea rubrolineata,Western Boxelder Bug,Hemiptera,Rhopalidae
3/1/2021,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/4/2021,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/17/2021,Boisea rubrolineata,Western Boxelder Bug,Hemiptera,Rhopalidae
3/23/2021,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
3/26/2021,Liometopum occidentale,Western Velvety Tree Ant,Hymenoptera,Formicidae
3/26/2021,Aquarius remigis,North American Common Water Strider,Hemiptera,Gerridae
3/26/2021,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/26/2021,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/26/2021,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/26/2021,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/27/2021,Liometopum occidentale,Western Velvety Tree Ant,Hymenoptera,Formicidae
3/28/2021,Manica bradleyi,Bradley's Manic Ant,Hymenoptera,Formicidae
3/28/2021,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
3/28/2021,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
3/29/2021,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
3/29/2021,Nymphalis antiopa,Mourning Cloak,Lepidoptera,Nymphalidae
3/29/2021,Nymphalis antiopa,Mourning Cloak,Lepidoptera,Nymphalidae
3/29/2021,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/30/2021,Aquarius remigis,North American Common Water Strider,Hemiptera,Gerridae
3/30/2021,Boisea rubrolineata,Western Boxelder Bug,Hemiptera,Rhopalidae
3/30/2021,Liometopum occidentale,Western Velvety Tree Ant,Hymenoptera,Formicidae
3/31/2021,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
3/31/2021,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
3/31/2021,Chimarocephala pacifica,Painted Meadow Grasshopper,Orthoptera,Acrididae
3/31/2021,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
4/1/2021,Camponotus laevigatus,Hairless Smooth Carpenter Ant,Hymenoptera,Formicidae
4/2/2021,Boisea rubrolineata,Western Boxelder Bug,Hemiptera,Rhopalidae
4/2/2021,Papilio rutulus,Western Tiger Swallowtail,Lepidoptera,Papilionidae
4/4/2021,Camponotus laevissimus,Hairy Smooth Carpenter Ant,Hymenoptera,Formicidae
4/4/2021,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
4/4/2021,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
4/4/2021,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
